_id,name,state,type
5c08cb7a54851e2170a044f6,NAGPUR,MAHARASHTRA,TO
5c08cdd054851e2170a044f7,CHAKAN,MAHARASHTRA,FROM
5c18dc737cd5ed3873c75b7e,NANDED,MAHARASHTRA,TO
5c18dc7f7cd5ed3873c75b7f,AURANGABAD,MAHARASHTRA,TO
5c1b267cad44b54ba966af54,NASHIK,MAHARASHTRA,TO
5c1b2688ad44b54ba966af55,DHULE,MAHARASHTRA,TO
5c1b2694ad44b54ba966af56,JALGAON,MAHARASHTRA,TO
5c1b26a1ad44b54ba966af57,JALNA,MAHARASHTRA,TO
5c1b26b3ad44b54ba966af59,AHMEDNAGAR,MAHARASHTRA,TO
5c1b26bead44b54ba966af5a,AMRAVATI,MAHARASHTRA,TO
5c1b26c9ad44b54ba966af5b,YAVATMAL,MAHARASHTRA,TO
5c1b26ddad44b54ba966af5d,LATUR,MAHARASHTRA,TO
5c1b26e6ad44b54ba966af5e,BEED,MAHARASHTRA,TO
5c2a199cdfb0bf39a19a89e9,WARDHA,MAHARASHTRA,TO
5c2a1c33dfb0bf39a19a89ea,GONDIA,MAHARASHTRA,TO
5c2b2fa1225ee761231dc67d,SATARA,MAHARASHTRA,TO
5c2e1f08a0707402e0a26c57,AKOLA,MAHARASHTRA,TO
5c371fef2620a63d4bac757e,SAILU,MAHARASHTRA,TO
5c77bb1d222ac21701102d12,KUTCH,GUJARAT,TO
5c77bb27222ac21701102d13,MEDAK,TELANGANA,TO
5c77bb30222ac21701102d14,MEHSANA,GUJARAT,TO
5c77bb3f222ac21701102d15,MORBI,GUJARAT,TO
5c77bb46222ac21701102d16,NAVSARI,GUJARAT,TO
5c77bb51222ac21701102d17,PATAN,GUJARAT,TO
5c77bb5c222ac21701102d18,PANCHMAHAL,GUJARAT,TO
5c77bb66222ac21701102d19,PORBANDAR,GUJARAT,TO
5c77bb74222ac21701102d1a,RAJKOT,GUJARAT,TO
5c77bb7c222ac21701102d1b,SABARKANTHA,GUJARAT,TO
5c77bb85222ac21701102d1c,SIROHI,RAJASTHAN,TO
5c77bb8e222ac21701102d1d,SURAT,GUJARAT,TO
5c77bb97222ac21701102d1e,SURENDRANAGAR,GUJARAT,TO
5c77bcf4222ac21701102d21,VALSAD,GUJARAT,TO
5c77bdb9222ac21701102d22,AHMEDABAD,GUJARAT,FROM
5c77be11222ac21701102d23,DADRA AND NAGAR HAVELI,DNHDD,TO
5c88b2fde555227616cd5313,MUNDHRA,GUJARAT,FROM
5c8b5781f7eb11385f2c00ee,VAPI,GUJARAT,FROM
5c8cad1368406047897e5300,JABALPUR,MADHYA PRADESH,TO
5c9471836558dd0a251e09af,VADODARA,GUJARAT,FROM
5c98841323285a081f29c8c4,RAJKOT,GUJARAT,FROM
5c9f1761aa6c8a43dffaaa06,INDORE,MADHYA PRADESH,TO
5ca5a369fe246c56b7088d5b,AURANGABAD,MAHARASHTRA,FROM
5cadd4f5f8b8f146c932730d,DHAR,MADHYA PRADESH,TO
5ccd1d1514fab25d2701a8d4,SATNA,MADHYA PRADESH,TO
5cef783c76be9a60a7188edc,NIMRANI,MADHYA PRADESH,TO
5d231da35de8c351d7a332db,INDORE,MADHYA PRADESH,FROM
5d295f08083a9c78214c2fe5,PIPAVA,GUJARAT,FROM
5d32cfac30bde30739dad0c6,GWALIOR,MADHYA PRADESH,TO
5d32cfb830bde30739dad0c7,BURHANPUR,MADHYA PRADESH,TO
5d32da6d30bde30739dad0e8,BARWANI,MADHYA PRADESH,TO
5d50f89f4546871a15b7e461,SILVASSA,DNHDD,FROM
5d5aaecaef64ab7b7e8fce5e,ISLAMPUR,MAHARASHTRA,TO
5d5aaee7ef64ab7b7e8fce60,ICHALKARANJI,MAHARASHTRA,TO
5d5aaef2ef64ab7b7e8fce61,SOLAPUR,MAHARASHTRA,TO
5d5aaefbef64ab7b7e8fce62,KOLHAPUR,MAHARASHTRA,TO
